Words,Length,AROU,,,VAL,,,DOM,,,CNC,,,IMAG,,,FAM,,,AOA,,,SIZE,,,GEND,,
ambition,8,6.879,2.056,33,7.686,1.282,35,7.559,1.630,34,2.294,1.563,34,3.429,1.871,35,5.849,1.459,33,5.029,0.971,35,6.114,1.214,35,4.485,1.438,33
ambulance,9,5.412,2.328,34,4.722,2.673,36,3.429,1.841,35,6.771,0.420,35,6.886,0.318,35,6.515,0.892,33,2.889,1.410,36,4.677,1.640,34,4.556,0.896,36
ammunition,10,5.818,2.194,33,2.849,1.500,33,6.188,2.297,32,5.970,0.870,33,5.871,1.362,31,5.030,1.800,33,5.485,1.184,33,4.909,1.815,33,5.781,1.023,32
amount,6,3.647,1.939,34,5.618,1.058,34,5.484,1.365,31,3.912,1.738,34,3.182,1.507,33,6.485,0.657,33,3.265,1.066,34,4.485,1.158,33,4.125,0.927,32
amphibian,9,4.086,1.857,35,5.412,1.166,34,5.235,1.113,34,6.364,0.731,33,6.030,1.446,33,4.032,1.576,31,4.727,1.188,33,3.353,1.780,34,4.000,0.875,34
amplifier,9,5.900,2.087,30,5.871,0.793,31,5.903,1.489,31,5.563,1.144,32,5.226,1.601,31,4.214,1.634,28,5.875,1.083,32,4.645,1.536,31,4.552,0.894,29
amplify,7,5.970,2.263,33,5.758,1.181,33,6.455,1.689,33,3.879,1.771,33,3.531,1.854,32,4.871,1.497,31,5.636,1.150,33,5.484,1.215,31,4.485,1.131,33
amputate,8,4.714,2.679,35,2.294,1.563,34,3.743,2.322,35,5.177,1.706,34,5.629,1.551,35,4.206,1.937,34,5.200,1.410,35,5.059,1.608,34,4.818,0.796,33
amuse,5,6.059,1.714,34,7.412,1.088,34,6.000,1.572,34,2.879,1.122,33,3.688,1.379,32,5.879,1.094,33,4.088,1.172,34,4.424,1.129,33,3.853,0.974,34
amusement,9,6.486,2.183,35,7.629,0.929,35,6.543,1.556,35,3.771,1.514,35,4.571,1.678,35,5.794,1.183,34,4.088,1.483,34,4.800,1.190,35,3.629,1.098,35
amusing,7,6.088,2.201,34,7.818,1.058,33,6.206,1.779,34,2.677,1.089,31,3.765,1.783,34,6.125,0.927,32,4.500,1.289,34,4.177,1.175,34,4.088,0.981,34
analogue,8,3.394,1.906,33,4.971,0.822,34,5.031,1.287,32,3.914,1.461,35,3.382,1.732,34,3.588,1.972,34,5.824,1.361,34,3.514,0.906,35,4.382,0.728,34
analyst,7,3.500,2.186,34,5.121,0.686,33,5.364,1.473,33,4.714,1.631,35,3.824,1.757,34,4.344,1.978,32,6.206,0.832,34,3.677,1.280,31,4.484,1.012,31
anchor,6,3.629,1.838,35,5.171,1.159,35,5.143,2.257,35,6.471,0.848,34,6.618,0.971,34,5.242,1.596,33,3.571,1.178,35,4.382,1.627,34,5.343,1.013,35
ancient,7,3.788,2.253,33,5.613,1.210,31,4.516,1.563,31,3.788,1.754,33,4.355,1.752,31,5.071,1.486,28,4.030,1.446,33,5.344,1.449,32,4.303,1.243,33
anecdote,8,5.206,1.811,34,6.088,1.358,34,5.546,1.671,33,3.265,2.034,34,3.257,2.047,35,4.343,1.706,35,6.457,0.731,35,3.441,1.459,34,4.088,0.781,34
angel,5,5.970,2.236,33,8.118,0.963,34,5.063,1.870,32,3.382,2.262,34,5.546,1.971,33,5.781,1.556,32,2.677,1.104,34,4.818,1.466,33,1.758,0.780,33
anger,5,5.636,2.568,33,2.529,1.500,34,4.618,2.364,34,3.647,1.813,34,4.758,1.776,33,6.235,0.877,34,2.794,0.994,34,5.515,1.104,33,4.914,1.251,35
angle,5,3.824,2.036,34,5.063,0.609,32,4.818,1.140,33,4.212,1.683,33,4.912,1.560,34,5.207,1.270,29,4.147,0.879,34,3.258,1.319,31,4.300,0.936,30
angry,5,5.906,2.283,32,2.394,1.013,33,5.419,2.380,31,3.613,1.538,31,5.394,1.229,33,6.516,0.911,31,2.267,0.854,30,4.774,1.453,31,5.344,1.107,32
anguish,7,4.771,2.166,35,2.457,1.338,35,3.788,1.838,33,2.559,1.117,34,3.629,1.742,35,3.735,1.820,34,5.943,1.194,35,4.857,1.150,35,3.857,1.397,35
animal,6,5.323,2.234,31,6.206,1.430,34,5.485,1.811,33,6.424,1.207,33,6.647,0.800,34,6.333,0.830,30,1.857,0.723,35,4.257,1.051,35,3.970,0.937,33
animals,7,5.807,1.991,31,6.939,1.476,33,5.576,2.089,33,6.406,1.169,32,6.706,0.749,34,6.613,0.605,31,1.794,0.796,34,4.588,1.478,34,3.824,1.339,34
animosity,9,6.484,1.682,31,2.613,1.600,31,4.484,1.998,31,2.219,1.340,32,2.677,1.574,31,3.613,1.808,31,6.406,0.785,32,4.833,1.485,30,4.036,1.210,28
ankle,5,3.807,1.595,31,5.152,0.435,33,5.000,0.968,32,6.733,0.629,30,6.724,0.690,29,6.346,1.107,26,2.774,1.156,31,2.484,0.798,31,3.621,0.887,29
annoy,5,4.618,2.485,34,2.647,0.936,34,5.382,2.142,34,2.500,0.978,34,3.353,1.661,34,5.909,1.288,33,3.059,0.938,34,4.029,1.465,34,4.485,1.184,33
annoyance,9,4.457,2.465,35,2.471,0.882,34,5.000,2.060,33,2.971,1.505,34,3.400,1.553,35,5.794,1.324,34,4.882,1.388,34,4.903,1.784,31,4.400,1.335,35
annoying,8,4.235,2.073,34,2.697,1.029,33,4.088,1.704,34,3.324,1.744,34,3.677,2.054,34,6.424,0.954,33,3.029,1.098,34,4.529,1.311,34,4.242,1.074,33
answer,6,4.400,1.808,35,6.057,1.264,35,5.800,1.618,35,3.941,1.798,34,4.031,1.705,32,6.344,0.956,32,2.829,0.941,35,4.382,1.415,34,3.909,0.668,33
ant,3,3.029,1.757,34,4.647,0.800,34,4.514,1.962,35,6.629,0.865,35,6.743,0.498,35,5.546,1.458,33,2.000,0.676,35,1.500,1.091,34,4.206,0.932,34
anteater,8,4.032,2.040,31,5.219,0.649,32,5.333,1.407,33,6.742,0.506,31,6.433,0.844,30,3.471,1.851,34,4.000,1.437,31,3.800,1.815,30,4.594,0.785,32
antelope,8,4.086,2.170,35,5.714,1.030,35,5.229,1.514,35,6.400,1.101,35,6.529,1.118,34,4.059,1.798,34,3.886,1.430,35,4.257,1.556,35,3.743,1.295,35
anthem,6,5.303,2.153,33,6.364,1.432,33,5.455,1.395,33,4.576,1.326,33,3.364,1.702,33,5.129,1.560,31,4.849,1.395,33,5.061,1.613,33,4.455,1.131,33
anthropology,12,4.063,2.344,32,5.419,0.872,31,5.344,1.613,32,2.968,1.713,31,2.438,1.638,32,3.143,1.988,35,6.594,1.057,32,5.094,1.208,32,4.375,1.053,32
anticipation,12,7.303,1.527,33,6.382,1.698,34,5.000,2.160,33,2.229,1.017,35,2.800,1.670,35,5.182,1.641,33,5.686,1.214,35,5.455,1.258,33,3.257,1.078,35
anus,4,4.030,2.431,33,4.156,1.326,32,5.000,1.372,34,5.906,1.234,32,5.484,1.624,31,4.636,1.856,33,5.800,1.305,35,2.853,1.498,34,4.656,1.215,32
anxiety,7,5.265,2.934,34,2.257,0.873,35,2.313,1.509,32,2.618,1.261,34,4.057,2.042,35,5.588,1.536,34,5.471,0.977,34,5.059,1.571,34,3.147,1.167,34
anxious,7,5.686,2.376,35,2.657,1.194,35,3.265,1.945,34,2.657,1.492,35,3.806,2.052,36,6.000,1.557,33,5.306,1.330,36,4.618,1.627,34,3.056,0.780,36
apathy,6,4.793,2.140,29,4.759,2.160,29,4.429,1.678,28,2.000,0.984,31,2.500,1.296,28,3.656,2.071,32,6.355,1.033,31,4.069,1.311,29,3.308,1.408,26
ape,3,4.677,2.054,34,5.121,1.297,33,5.030,1.487,33,6.576,0.854,33,6.647,0.800,34,5.546,1.777,33,2.794,0.796,34,4.849,1.395,33,5.618,0.940,34
apex,4,4.276,2.211,29,5.846,1.537,26,5.440,1.627,25,4.250,1.993,28,4.069,2.050,29,3.121,1.855,33,6.267,1.181,30,4.333,1.440,27,4.103,1.213,29
apologize,9,5.000,1.867,31,5.970,2.037,33,5.030,2.037,33,3.531,1.854,32,4.063,2.045,32,6.290,0.957,31,3.333,1.271,33,4.563,1.540,32,3.333,1.005,33
apology,7,4.500,2.145,34,6.088,1.704,34,5.371,2.380,35,3.059,1.392,34,3.000,1.512,35,5.939,1.229,33,3.242,1.181,33,4.706,1.318,34,3.265,1.093,34
appalling,9,5.364,2.568,33,2.059,1.136,34,4.235,1.783,34,2.412,1.061,34,2.939,1.556,33,5.091,1.602,33,5.294,1.318,34,5.242,1.074,33,4.177,0.821,34
appear,6,4.406,1.783,32,5.656,1.290,32,5.172,1.743,29,2.750,1.146,32,3.094,1.588,32,5.667,1.164,30,3.750,1.118,32,3.807,1.090,31,3.759,0.678,29
appearance,10,5.406,1.598,32,5.406,1.433,32,4.688,2.083,32,2.546,1.157,33,3.156,1.439,32,5.552,1.101,29,4.438,1.197,32,4.394,1.476,33,2.938,0.966,32
appeared,8,5.065,1.795,31,5.677,0.857,31,5.323,1.254,31,2.700,1.215,30,2.625,1.516,32,5.643,1.342,28,3.875,1.166,32,4.035,0.928,29,3.750,0.829,28
applause,8,6.686,1.652,35,7.800,1.009,35,6.686,1.635,35,5.600,1.126,35,5.914,1.296,35,6.030,0.937,33,3.629,1.396,35,5.000,1.414,35,3.914,0.692,35
apple,5,4.677,2.138,34,6.147,1.191,34,5.485,1.209,33,6.824,0.452,34,6.909,0.379,33,6.719,0.572,32,1.529,0.606,34,2.441,1.241,34,3.424,0.954,33
Apple (brand),5,4.849,2.687,33,5.971,1.902,34,4.600,2.440,35,5.943,1.264,35,6.677,0.794,34,6.529,0.915,34,6.000,1.553,34,5.353,1.954,34,4.647,1.210,34
apple (fruit),5,4.636,2.172,33,6.121,1.297,33,5.286,1.385,35,6.765,0.597,34,6.800,0.466,35,6.613,0.656,31,1.576,0.698,33,2.314,1.260,35,3.212,0.946,33
appliance,9,3.364,1.554,33,5.257,1.227,35,5.242,1.985,33,5.353,1.453,34,5.057,1.655,35,5.618,1.435,34,4.909,1.111,33,3.912,1.314,34,4.400,1.200,35
applied,7,3.758,2.060,33,5.839,1.298,31,5.742,1.866,31,2.727,1.483,33,2.188,1.333,32,5.069,1.507,29,5.469,1.199,32,4.194,1.203,31,4.156,0.833,32
apply,5,3.971,1.807,34,5.771,1.244,35,5.697,1.696,33,3.177,1.774,34,2.636,1.494,33,5.824,1.042,34,4.829,1.082,35,3.824,0.954,34,4.029,0.654,35
appoint,7,3.818,2.022,33,5.618,1.329,34,5.727,2.219,33,3.636,1.494,33,3.030,1.623,33,4.636,1.806,33,5.412,1.375,34,3.882,1.388,34,4.265,1.093,34
appointment,11,3.515,2.076,33,4.970,1.114,33,4.706,1.871,34,4.886,1.635,35,4.000,2.030,33,5.697,1.243,33,4.000,1.270,31,3.606,1.254,33,3.625,1.111,32
appreciate,10,5.750,1.436,32,7.813,0.808,32,6.161,1.526,31,3.344,1.265,32,3.939,1.594,33,6.281,1.152,32,4.531,1.392,32,5.000,1.270,31,2.938,0.966,32
approval,8,5.714,2.050,35,7.441,1.006,34,4.794,2.180,34,3.314,1.368,35,3.441,1.439,34,5.941,1.110,34,4.886,1.190,35,4.912,1.095,34,3.343,1.170,35
approve,7,5.061,1.825,33,6.939,1.254,33,6.546,1.876,33,3.097,1.489,31,3.206,1.623,34,5.719,1.256,32,4.400,1.047,35,4.294,1.226,34,3.606,0.952,33
apricot,7,4.188,1.927,32,5.939,1.153,33,5.121,1.343,33,6.500,1.091,34,6.697,0.577,33,5.677,1.634,31,3.206,1.207,34,2.441,1.499,34,3.206,1.132,34
apron,5,3.724,1.760,29,5.226,0.705,31,4.344,1.492,32,6.452,0.711,31,6.613,0.549,31,4.615,1.734,26,3.226,0.974,31,2.719,1.179,32,2.000,0.981,27
aptitude,8,4.500,2.136,32,5.939,1.536,33,6.118,1.491,34,2.818,1.290,33,2.030,1.141,33,4.030,1.586,33,6.382,0.768,34,4.688,1.184,32,4.455,0.956,33
arch,4,4.250,1.620,32,5.500,1.176,30,4.903,1.399,31,5.375,1.536,32,5.677,1.468,31,4.296,1.739,27,4.452,1.478,31,4.233,1.383,30,4.143,0.742,28
archaeology,11,3.529,2.291,34,5.353,1.326,34,5.412,1.593,34,4.829,1.665,35,4.114,2.011,35,4.485,1.777,33,6.029,1.071,34,5.235,1.307,34,4.943,1.241,35
archer,6,4.273,2.019,33,4.970,0.834,33,6.088,1.401,34,6.250,0.901,32,6.303,0.870,33,4.125,1.691,32,4.576,1.326,33,3.824,1.248,34,5.177,0.890,34
archery,7,4.677,2.259,34,5.758,1.207,33,6.206,1.510,34,5.706,1.249,34,6.030,1.314,33,4.344,1.881,32,4.857,1.334,35,3.824,1.271,34,4.600,1.398,35
architect,9,4.242,1.843,33,5.771,0.988,35,5.314,1.801,35,6.000,1.095,35,5.200,1.770,35,5.343,1.672,35,5.286,1.084,35,4.314,1.141,35,5.143,0.960,35
archive,7,3.571,2.129,35,5.400,1.074,35,5.000,1.393,33,5.429,1.440,35,4.371,1.790,35,4.400,1.694,35,5.657,1.218,35,4.912,1.483,34,4.057,0.893,35
argue,5,5.257,2.334,35,2.771,1.333,35,5.200,2.388,35,4.086,1.610,35,4.914,1.610,35,6.161,0.987,31,3.057,1.013,35,4.743,1.421,35,4.206,1.410,34
argument,8,6.313,2.615,32,2.394,1.455,33,5.250,2.437,32,3.788,1.387,33,3.909,1.747,33,6.419,1.212,31,3.939,1.179,33,5.182,1.217,33,4.727,1.332,33
arise,5,5.286,1.798,35,6.000,1.138,34,6.171,1.298,35,3.143,1.624,35,3.257,1.746,35,4.257,1.499,35,5.029,1.230,35,4.571,1.294,35,3.800,0.888,35
aristocracy,11,4.719,2.528,32,4.212,1.683,33,4.588,2.557,34,4.088,1.991,34,4.059,1.862,34,3.941,1.909,34,6.441,0.914,34,5.344,1.593,32,4.061,1.922,33
aristocratic,12,4.133,1.708,30,4.300,1.696,30,4.742,2.016,31,4.300,1.716,30,4.065,1.917,31,3.909,2.050,33,5.912,1.269,34,4.774,1.736,31,4.688,1.530,32
arm,3,3.735,2.119,34,5.471,0.737,34,5.774,1.408,31,6.727,0.445,33,6.571,1.316,35,6.546,1.047,33,1.457,0.553,35,3.171,1.444,35,4.265,0.851,34
arm (limb),3,3.500,1.835,34,5.583,1.460,36,5.941,1.909,34,6.694,0.700,36,6.882,0.403,34,6.849,0.435,33,1.861,1.134,36,3.389,1.439,36,4.306,0.938,36
arm (weapon),3,5.727,2.150,33,2.758,1.436,33,6.636,1.872,33,5.758,1.349,33,5.563,1.345,32,4.500,1.601,32,5.242,1.207,33,4.939,1.632,33,5.909,1.138,33
armadillo,9,4.029,1.886,34,5.424,0.889,33,4.939,1.099,33,6.559,0.914,34,6.061,1.434,33,4.647,2.168,34,4.706,1.273,34,3.364,1.473,33,4.529,1.091,34
armed,5,6.254,1.815,67,3.029,1.414,68,5.923,2.719,65,4.746,1.690,63,5.108,1.469,65,4.754,1.596,61,4.536,1.124,69,5.092,1.133,65,5.892,0.930,65
armour,6,4.500,2.062,32,5.546,1.597,33,6.031,2.158,32,6.273,0.827,33,6.613,0.549,31,4.719,1.940,32,4.147,1.216,34,4.364,1.322,33,5.941,1.162,34
armoury,7,4.719,2.239,32,4.375,1.341,32,5.636,2.012,33,5.788,1.225,33,5.031,1.551,32,3.324,1.710,34,5.576,1.256,33,4.906,1.128,32,5.879,0.913,33
arms,4,4.364,1.997,33,5.546,1.539,33,5.636,1.322,33,6.647,0.478,34,6.485,0.702,33,6.469,0.866,32,2.206,0.867,34,3.758,1.670,33,4.912,1.095,34
arms (limbs),4,3.857,1.944,35,6.086,1.296,35,6.500,1.377,34,6.743,0.498,35,6.600,0.835,35,6.818,0.575,33,1.800,1.283,35,3.600,1.497,35,4.257,0.691,35
arms (weapons),4,5.706,2.561,34,2.059,1.211,34,4.147,2.510,34,6.235,0.972,34,6.294,0.925,34,4.788,1.855,33,5.500,1.440,34,5.441,1.193,34,5.912,1.197,34
army,4,5.712,2.187,66,3.910,1.859,67,4.424,2.594,66,6.103,1.017,68,6.266,1.019,64,5.417,1.563,60,3.597,1.350,67,6.149,1.296,67,6.328,0.830,64
aroma,5,5.531,2.179,32,6.576,1.256,33,5.235,1.395,34,3.514,1.746,35,3.588,1.817,34,4.706,1.791,34,5.029,1.424,35,3.412,1.555,34,2.750,1.173,32
arouse,6,7.688,1.530,32,7.156,1.093,32,6.500,1.854,32,2.879,1.451,33,3.333,1.717,33,5.037,1.527,27,6.000,1.218,31,4.625,1.218,32,4.000,1.344,31
aroused,7,7.943,1.241,35,7.265,1.146,34,5.667,2.671,33,2.677,1.490,34,4.147,1.629,34,5.758,1.393,33,6.171,0.878,35,4.941,1.349,34,4.229,1.640,35
array,5,4.000,2.118,33,5.750,0.968,32,5.161,1.526,31,2.970,1.623,33,2.938,1.676,32,4.179,1.833,28,6.125,0.992,32,4.581,1.681,31,3.636,1.202,33
arrest,6,4.206,2.423,34,2.457,1.380,35,4.057,2.704,35,4.765,1.535,34,5.400,1.571,35,5.576,1.615,33,4.235,1.238,34,4.886,1.063,35,5.364,1.068,33
arrested,8,5.344,2.272,32,2.143,0.990,35,3.063,2.164,32,4.807,1.255,31,4.677,1.658,34,5.781,1.408,32,4.143,1.073,35,4.794,1.430,34,5.455,0.891,33
arrive,6,4.971,2.479,34,6.182,1.167,33,5.647,1.551,34,4.177,1.581,34,3.909,1.712,33,6.063,0.998,32,3.030,0.904,33,4.000,1.045,33,3.514,1.204,35
arrogant,8,4.500,2.359,32,2.156,1.003,32,5.452,2.434,31,3.250,1.275,32,3.969,1.976,32,6.000,1.211,30,5.438,1.273,32,4.807,1.354,31,5.844,0.972,32
arrow,5,4.400,2.345,35,4.514,1.273,35,5.455,1.777,33,6.412,0.878,34,6.719,0.450,32,5.229,1.822,35,3.057,1.068,35,3.029,1.383,35,5.086,1.296,35
arrows,6,4.382,2.015,34,4.788,1.273,33,5.353,1.588,34,6.033,0.983,30,6.324,0.931,34,4.938,1.903,32,3.029,0.878,35,3.273,1.503,33,4.824,1.097,34
arse,4,5.094,2.529,32,3.971,1.706,34,5.667,2.055,33,6.000,1.206,33,6.294,0.859,34,6.161,1.139,31,5.000,1.475,34,3.313,1.550,32,5.235,1.733,34
arsehole,8,4.500,2.465,34,2.147,1.309,34,4.971,2.107,34,4.794,1.795,34,5.677,1.710,34,5.971,1.317,34,5.500,1.243,34,3.765,1.733,34,5.824,1.014,34
arson,5,5.206,2.898,34,2.059,1.434,34,5.088,2.381,34,4.714,1.578,35,4.706,1.807,34,4.286,1.980,35,5.971,1.071,34,5.394,1.229,33,5.706,0.824,34
art,3,6.394,2.187,33,7.030,1.218,33,5.938,1.694,32,4.382,2.156,34,5.794,1.410,34,6.364,1.123,33,2.441,0.735,34,5.375,1.596,32,2.971,1.175,34
artist,6,5.235,2.210,34,6.912,1.269,34,6.000,1.820,32,5.546,1.707,33,6.212,0.913,33,5.879,1.365,33,3.265,1.038,34,4.515,1.417,33,3.265,1.220,34
arts,4,5.206,2.097,34,6.429,1.050,35,5.743,1.778,35,3.543,1.762,35,4.171,1.844,35,6.088,1.067,34,3.829,1.521,35,4.697,1.403,33,3.000,0.756,35
ascend,6,5.677,1.567,34,6.529,1.242,34,6.818,1.113,33,3.800,1.564,35,4.647,1.588,34,5.029,1.654,34,5.171,1.159,35,4.882,1.078,34,4.029,1.055,35
ascent,6,5.343,1.897,35,5.686,1.450,35,5.818,1.696,33,4.029,1.444,35,4.257,1.499,35,4.371,1.806,35,5.629,1.017,35,4.743,1.338,35,4.088,1.039,34
ashamed,7,4.182,2.528,33,1.844,0.905,32,2.818,1.641,33,2.727,1.081,33,3.303,1.527,33,5.531,1.658,32,4.727,1.309,33,4.576,1.478,33,4.061,1.013,33
ashes,5,3.912,2.133,34,3.657,1.330,35,4.677,1.810,34,5.686,1.600,35,5.657,1.548,35,4.943,1.672,35,4.114,1.008,35,2.714,1.560,35,4.257,0.805,35
aspect,6,3.857,2.086,35,5.531,0.901,32,5.469,1.414,32,2.600,1.438,35,1.943,1.170,35,4.906,1.608,32,5.971,0.971,35,3.471,1.576,34,3.735,0.885,34
aspirin,7,3.849,1.725,33,5.029,1.295,34,4.656,1.428,32,5.903,1.467,31,5.818,1.336,33,6.000,1.090,32,5.088,1.442,34,2.188,1.356,32,3.677,0.962,34
ass,3,5.333,2.445,33,4.571,2.018,35,5.242,1.724,33,6.382,0.908,34,6.177,1.124,34,5.400,1.660,35,4.206,1.301,34,3.857,1.570,35,4.353,1.570,34
ass (donkey),3,3.912,2.215,34,4.743,1.317,35,5.559,2.061,34,6.813,0.390,32,6.743,0.498,35,5.000,1.969,32,4.167,1.323,36,3.486,1.422,35,5.457,1.155,35
ass (insult),3,4.697,2.540,33,2.063,0.864,32,4.188,2.113,32,2.807,1.378,31,2.807,1.635,31,4.656,1.962,32,5.333,1.271,33,3.781,1.596,32,5.455,1.208,33
assassin,8,6.588,2.157,34,2.206,1.659,34,3.529,2.118,34,5.697,1.660,33,5.688,1.446,32,4.879,1.950,33,5.324,0.830,34,4.879,1.629,33,5.882,0.932,34
assassinate,11,6.088,2.306,34,2.000,1.121,35,6.273,2.609,33,4.971,1.740,34,5.333,1.589,33,4.546,1.437,33,5.543,1.155,35,5.788,1.066,33,5.882,1.323,34
assault,7,5.188,2.744,32,2.030,1.381,33,3.750,2.305,32,4.118,1.875,34,5.000,1.436,32,5.344,1.688,32,5.121,1.008,33,5.219,1.111,32,5.364,1.068,33
asshole,7,4.941,2.555,34,2.486,1.826,35,5.629,2.380,35,4.647,1.984,34,4.771,2.153,35,5.735,1.540,34,5.743,1.051,35,3.771,1.675,35,5.943,1.068,35
assist,6,4.758,1.759,33,6.647,1.391,34,6.182,1.336,33,3.441,1.376,34,3.344,1.492,32,5.455,1.395,33,4.647,1.234,34,3.853,1.216,34,3.441,1.006,34
assistant,9,3.853,1.574,34,5.727,0.993,33,4.771,2.474,35,5.400,1.377,35,5.371,1.197,35,5.971,1.339,34,4.677,1.366,34,3.657,1.218,35,3.257,0.873,35
assuring,8,4.645,1.893,31,7.469,1.199,32,6.032,1.943,31,2.290,0.957,31,2.719,1.256,32,4.667,1.398,30,5.125,1.053,32,4.531,1.250,32,3.000,1.145,29
asteroid,8,6.000,2.387,33,4.559,1.459,34,4.353,2.028,34,6.029,1.200,34,5.677,1.509,34,4.618,2.072,34,4.529,1.194,34,5.546,2.001,33,5.212,0.977,33
asthma,6,3.667,2.300,30,2.471,1.036,34,3.031,1.944,32,5.457,1.250,35,4.829,1.483,35,5.182,1.585,33,4.029,1.295,34,4.059,1.413,34,4.177,0.706,34
astonish,8,6.394,1.874,33,5.909,1.379,33,5.206,1.324,34,2.600,1.176,35,3.088,1.597,34,5.091,1.564,33,4.657,1.218,35,4.455,1.458,33,3.758,0.954,33
astonished,10,6.429,2.129,35,5.800,1.600,35,4.857,1.884,35,2.500,1.243,34,3.400,1.760,35,5.758,1.436,33,5.114,1.237,35,5.457,1.295,35,3.471,1.218,34
astronaut,9,5.515,2.414,33,6.667,1.325,30,5.063,1.435,32,6.424,1.045,33,6.788,0.537,33,5.000,1.984,31,3.273,1.332,33,4.419,1.792,31,5.531,1.060,32
astronomer,10,5.156,2.002,32,6.303,1.314,33,5.438,1.435,32,5.333,1.274,30,4.807,1.533,31,3.862,1.960,29,5.121,1.320,33,4.394,1.369,33,5.188,1.014,32
astronomy,9,5.118,2.259,34,5.857,1.397,35,5.086,1.888,35,4.394,1.455,33,5.059,1.781,34,4.588,1.700,34,5.657,0.893,35,6.257,0.936,35,4.543,1.179,35
athletic,8,5.656,2.071,32,7.029,1.253,35,6.219,1.556,32,4.546,1.777,33,5.250,1.677,32,5.613,1.407,31,4.088,1.269,34,4.559,1.143,34,4.879,1.273,33
athletics,9,4.118,2.398,34,5.912,1.669,34,5.677,2.082,34,5.412,1.593,34,5.735,1.220,34,5.548,1.240,31,4.212,1.008,33,4.364,1.592,33,4.939,1.099,33
atmosphere,10,5.938,1.968,32,6.250,1.090,32,4.839,1.568,31,3.645,2.025,31,3.594,1.800,32,6.300,0.862,30,5.065,1.243,31,6.161,1.298,31,3.758,0.922,33
atom,4,4.171,2.236,35,5.600,1.398,35,4.324,1.567,34,5.485,1.579,33,3.765,2.402,34,4.588,1.987,34,5.914,1.156,35,1.943,1.866,35,4.829,1.134,35
atomic,6,5.844,2.611,32,3.618,1.956,34,4.394,2.719,33,4.576,2.016,33,5.303,1.899,33,4.594,1.982,32,5.529,1.311,34,5.294,2.217,34,5.000,1.279,33
atoms,5,4.818,1.961,33,5.677,1.529,34,4.152,2.062,33,5.364,1.839,33,4.636,2.460,33,5.467,1.962,30,5.677,1.104,34,2.667,2.331,33,4.706,0.956,34
atrocious,9,5.594,2.163,32,1.849,1.131,33,4.500,1.989,34,2.212,1.148,33,1.941,1.110,34,4.182,1.585,33,5.818,1.266,33,5.188,1.333,32,4.212,1.225,33
atrocity,8,4.971,2.739,34,1.515,0.892,33,3.903,2.234,31,3.194,1.654,31,3.441,1.850,34,3.788,1.887,33,6.273,0.930,33,5.903,1.376,31,4.546,1.281,33
attack,6,5.353,2.519,34,1.941,0.873,34,4.147,2.724,34,4.441,1.752,34,5.061,1.413,33,5.667,1.470,33,3.529,1.036,34,5.147,1.191,34,5.500,0.947,34
attacker,8,5.114,2.459,35,2.114,1.141,35,4.057,2.787,35,5.697,1.243,33,5.273,1.582,33,5.030,1.623,33,4.382,1.415,34,5.265,1.244,34,5.559,1.063,34
attempt,7,3.727,1.847,33,5.829,0.971,35,5.743,1.360,35,3.629,1.587,35,3.000,1.656,35,5.765,1.285,34,3.914,1.402,35,4.059,1.027,34,3.886,0.574,35
attendant,9,3.771,1.790,35,5.029,0.664,34,4.800,1.817,35,5.829,1.363,35,5.086,1.461,35,5.059,1.644,34,5.059,0.998,34,3.829,1.320,35,3.857,1.199,35
attention,9,5.882,1.937,34,6.114,1.090,35,5.529,2.354,34,3.229,1.375,35,3.457,1.627,35,6.152,0.989,33,3.412,1.263,34,4.853,1.061,34,3.412,1.263,34
attic,5,3.969,1.845,32,4.750,0.968,32,4.793,1.242,29,6.400,0.712,30,5.967,1.048,30,4.889,1.750,27,3.563,1.273,32,4.125,1.317,32,4.259,1.142,27
attitude,8,5.303,2.181,33,4.333,1.407,33,5.636,2.186,33,2.788,1.343,33,3.000,1.859,33,5.807,1.490,31,3.970,1.029,33,5.182,1.140,33,3.576,1.393,33
attract,7,7.057,1.241,35,7.265,1.009,34,6.771,1.289,35,3.029,1.502,35,3.629,1.605,35,6.057,1.040,35,4.514,1.339,35,4.914,1.204,35,2.857,1.073,35
attraction,10,7.206,1.694,34,7.677,0.962,34,6.000,2.118,33,2.629,1.569,35,3.824,1.806,34,6.382,0.841,34,5.400,1.047,35,5.147,1.438,34,2.667,1.428,33
attractive,10,7.471,1.242,34,7.875,0.927,32,6.147,1.801,34,2.875,1.916,32,4.774,1.844,31,6.156,1.003,32,4.576,1.280,33,5.177,1.124,34,2.485,1.306,33
attribute,9,4.500,2.226,34,5.886,1.090,35,5.788,2.071,33,2.735,1.400,34,2.771,1.790,35,4.514,1.645,35,5.829,1.134,35,4.618,1.329,34,3.686,1.115,35
auction,7,3.559,1.769,34,5.306,1.049,36,4.588,2.116,34,5.314,1.652,35,6.029,0.941,35,5.424,1.706,33,4.800,1.430,35,4.206,1.549,34,4.750,1.064,36
auctioneer,10,3.516,1.932,31,4.839,0.987,31,5.226,1.640,31,5.700,1.130,30,5.194,1.401,31,3.484,1.932,31,5.452,1.073,31,3.903,1.445,31,5.226,0.941,31
audience,8,4.727,1.911,33,5.781,1.556,32,5.121,2.071,33,5.697,1.141,33,6.065,0.948,31,6.125,0.857,32,3.667,1.198,33,5.563,1.368,32,4.121,1.200,33
